"","mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample","ppm","mzminexp","mzmaxexp","ppmexp"
"CP458",117.021889030742,117.021435245598,117.022062412913,1535.60800000002,1515.64699999998,1556.56699999998,9846438.38474766,9844827.39937598,1600433.125,11223,1,2.6797008697363,117.019548592962,117.024229468523,39.9999999999209
"CP419",118.025098171997,118.024207327865,118.025636390423,1535.60800000002,1529.62000000002,1556.56699999998,422596.103087238,421461.281276977,65939.03125,359,1,6.05406214727554,118.022737670034,118.027458673961,39.9999999998365
"CP106",118.043675162189,118.041180945542,118.045224289215,685.25599999998,674.27800000002,696.23500000002,17050.0977202793,16826.0792691213,1870.28869628906,32,1,17.1264731784574,118.041180945542,118.046036035693,41.1296085437408
"CP390",118.944702176093,118.942995164569,118.945267888325,1545.588,1540.59799999998,1554.57100000002,7412.98653936055,7356.43814209366,1871.67053222656,42,1,9.55369896568145,118.942323282049,118.947081070136,40.0000000000339
"CP113",119.037313783605,119.037095367102,119.037489219226,518.58100000002,494.628,540.53800000002,2235631.20407112,1942412.80682569,97470.09375,104,1,1.65432212723862,119.034933037329,119.039694529881,39.9999999999531
"CP055",120.040628388736,120.040175651134,120.041392460469,517.58299999998,494.628,540.53800000002,118684.265581226,111961.89590447,6430.70263671875,26,1,5.06832291217149,120.038227576168,120.043029201303,39.9999999998202
"CP317",122.969944300389,122.969542092284,122.970242810289,848.93899999998,813.00700000002,921.79699999998,1217865.23076823,1176139.37143192,17909.7890625,64,1,2.84914337898039,122.967484901503,122.972403699275,39.9999999999277
"CP318",122.972037163223,122.97167108518,122.972328465198,1236.18700000002,1215.228,1263.13399999998,537750.897825263,519164.514983585,21582.876953125,77,1,2.67288415098687,122.96957772248,122.974496603966,39.9999999999074
"CP105",123.050988514627,123.049666044295,123.052738379374,685.25599999998,673.27999999998,701.22499999998,17195.8858527783,17105.4971145757,1706.34301757812,47,1,12.4839918645474,123.048527494856,123.053449534397,39.9999999999102
"CP030",125.026613634504,125.02597944967,125.027421985005,518.58100000002,494.628,540.53800000002,71102.2814875108,70855.6269197004,3608.09204101562,64,1,5.76891308360957,125.024113102232,125.029114166777,39.9999999999042
"CP229",126.019713725668,126.01941321648,126.019980593823,817.99699999998,802.02799999998,846.94300000002,496779.0453177,493132.997408684,19939.921875,108,1,2.25114518502401,126.017193331394,126.022234119943,39.9999999998692
